id,parameter_data_id,covidence_id,pathogen,parameter_type,parameter_value,exponent,parameter_unit,parameter_lower_bound,parameter_upper_bound,parameter_value_type,parameter_uncertainty_single_value,parameter_uncertainty_singe_type,parameter_uncertainty_lower_value,parameter_uncertainty_upper_value,parameter_uncertainty_type,cfr_ifr_numerator,cfr_ifr_denominator,distribution_type,distribution_par1_value,distribution_par1_type,distribution_par1_uncertainty,distribution_par2_value,distribution_par2_type,distribution_par2_uncertainty,method_from_supplement,method_moment_value,cfr_ifr_method,method_r,method_disaggregated_by,method_disaggregated,method_disaggregated_only,riskfactor_outcome,riskfactor_name,riskfactor_occupation,riskfactor_significant,riskfactor_adjusted,population_sex,population_sample_type,population_group,population_age_min,population_age_max,population_sample_size,population_country,population_location,population_study_start_day,population_study_start_month,population_study_start_year,population_study_end_day,population_study_end_month,population_study_end_year,genome_site,genomic_sequence_available,other_delay_start,other_delay_end,inverse_param,parameter_from_figure,r_pathway,parameter_class,parameter_bounds,comb_uncertainty_type,comb_uncertainty
bf0fa77e86f391b4b01b755a19c3d17a,2c87dce09d7fa892467e07be68e4148a,842,Lassa mammarenavirus,Human delay - incubation period,,0.0,Days,7.0,17.0,,,,,,,,,,,,False,,,False,False,Unspecified,,,,False,False,,,,,,Female,Hospital based,Healthcare workers,45.0,69.0,3.0,Nigeria,Lassa,12.0,Jan 01,1969.0,20.0,Feb 02,1969.0,,False,,,False,False,,Human delay,7 - 17,,
ab9eae2de8067ae68eaa8c6d0996b071,0cba6c6afa55375dcb35fd82c7436513,845,Lassa mammarenavirus,Severity - case fatality rate (CFR),9.3,0.0,Percentage (%),,,Unspecified,,,,,,23.0,246.0,,,,False,,,False,False,Unspecified,Adjusted,,"Age, Other, Sex, Symptoms",True,False,,,,,,Both,Hospital based,Persons under investigation,0.0,,246.0,Liberia,Zorzor,1.0,Jul 07,1980.0,30.0,Apr 04,1986.0,,False,,,False,False,,Severity,,,
ab9eae2de8067ae68eaa8c6d0996b071,58da15de60ce36b58172edd5338fb525,845,Lassa mammarenavirus,Severity - case fatality rate (CFR),15.6,0.0,Percentage (%),,,Unspecified,,,,,,5.0,32.0,,,,False,,,False,False,Unspecified,Adjusted,,,False,False,,,,,,Female,Hospital based,Pregnant women,,,,Liberia,Zorzor,1.0,Jul 07,1980.0,30.0,Apr 04,1986.0,,False,,,False,False,,Severity,,,
ab9eae2de8067ae68eaa8c6d0996b071,e4c13f51665f2cae906405bc5afc55e3,845,Lassa mammarenavirus,Severity - case fatality rate (CFR),26.7,0.0,Percentage (%),,,Unspecified,,,,,,4.0,15.0,,,,False,,,False,False,Unspecified,Adjusted,,,False,False,,,,,,Unspecified,Hospital based,Children,,12.0,15.0,Liberia,Zorzor,1.0,Jul 07,1980.0,30.0,Apr 04,1986.0,,False,,,False,False,,Severity,,,
52d098072a6521550fafc591f93894df,1fc468680f8bb71461d947e2d57494bc,854,Lassa mammarenavirus,Severity - case fatality rate (CFR),65.0,0.0,Percentage (%),,,Unspecified,,,,,,22.0,34.0,,,,False,,,False,False,Unspecified,Unspecified,,,False,False,,,,,,Unspecified,Hospital based,Persons under investigation,,,34.0,Nigeria,"Aboh Mbaise, Aba, Owerri",1.0,Jan 01,1989.0,31.0,Mar 03,1989.0,,False,,,False,False,,Severity,,,
52d098072a6521550fafc591f93894df,5373eea5a428319c356346ec19f70d42,854,Lassa mammarenavirus,Human delay - time in care (length of stay),11.5,0.0,Days,,,Mean,4.97,Standard Deviation,,,,,,,,,False,,,False,False,Unspecified,,,,False,False,,,,,,Unspecified,Hospital based,Persons under investigation,,,,Nigeria,Aboh Mbaise,1.0,Jan 01,1989.0,31.0,Mar 03,1989.0,,False,,,False,False,,Human delay,,Standard Deviation,4.97
52d098072a6521550fafc591f93894df,f24083c0bb89bda1966bf4df9e3c38fe,854,Lassa mammarenavirus,Seroprevalence - IFA,1.0,0.0,Percentage (%),,,Unspecified,,,,,,6.0,415.0,,,,False,,,False,False,Unspecified,,,,False,False,,,,,,Unspecified,Community based,Unspecified,,,415.0,Nigeria,Aboh Mbaise,1.0,Jan 01,1989.0,31.0,Mar 03,1989.0,,False,,,False,False,,Seroprevalence,,,
52d098072a6521550fafc591f93894df,a3f19cefbb0e962b2fdfc6c851f3aff3,854,Lassa mammarenavirus,Seroprevalence - IFA,1.0,0.0,Percentage (%),,,Unspecified,,,,,,2.0,175.0,,,,False,,,False,False,Unspecified,,,,False,False,,,,,,Unspecified,Hospital based,Healthcare workers,,,175.0,Nigeria,Aboh Mbaise,1.0,Jan 01,1989.0,31.0,Mar 03,1989.0,,False,,,False,False,,Seroprevalence,,,
52d098072a6521550fafc591f93894df,3aa78239668341d0b6f52971832c96da,854,Lassa mammarenavirus,Seroprevalence - IFA,2.0,0.0,Percentage (%),,,Unspecified,,,,,,5.0,240.0,,,,False,,,False,False,Unspecified,,,,False,False,,,,,,Unspecified,Hospital based,Healthcare workers,,,240.0,Nigeria,Aba,1.0,Jan 01,1989.0,31.0,Mar 03,1989.0,,False,,,False,False,,Seroprevalence,,,
52d098072a6521550fafc591f93894df,3dcf78da29072e8c56044e57c2aac467,854,Lassa mammarenavirus,Seroprevalence - IFA,0.0,0.0,Percentage (%),,,Unspecified,,,,,,0.0,47.0,,,,False,,,False,False,Unspecified,,,,False,False,,,,,,Unspecified,Hospital based,Healthcare workers,,,47.0,Nigeria,University Of Nigeria Teaching Hospital,1.0,Jan 01,1989.0,31.0,Mar 03,1989.0,,False,,,False,False,,Seroprevalence,,,
